pclass;survived;sex;age;sibsp;parch;ticket;fare;cabin;embarked
1;1;female;29;0;0;24160;211,3375;B5;S
1;1;male;0,9167;1;2;113781;151,5500;C22 C26;S
1;0;female;2;1;2;113781;151,5500;C22 C26;S
1;0;male;30;1;2;113781;151,5500;C22 C26;S
1;0;female;25;1;2;113781;151,5500;C22 C26;S
1;1;male;48;0;0;19952;26,5500;E12;S
1;1;female;63;1;0;13502;77,9583;D7;S
1;0;male;39;0;0;112050;0,0000;A36;S
1;1;female;53;2;0;11769;51,4792;C101;S
1;0;male;71;0;0;PC 17609;49,5042;;C
1;0;male;47;1;0;PC 17757;227,5250;C62 C64;C
1;1;female;18;1;0;PC 17757;227,5250;C62 C64;C
1;1;female;24;0;0;PC 17477;69,3000;B35;C
1;1;female;26;0;0;19877;78,8500;;S
1;1;male;80;0;0;27042;30,0000;A23;S
1;0;male;;0;0;PC 17318;25,9250;;S
1;0;male;24;0;1;PC 17558;247,5208;B58 B60;C
1;1;female;50;0;1;PC 17558;247,5208;B58 B60;C
1;1;female;32;0;0;11813;76,2917;D15;C
1;0;male;36;0;0;13050;75,2417;C6;C
1;1;male;37;1;1;11751;52,5542;D35;S
1;1;female;47;1;1;11751;52,5542;D35;S
1;1;male;26;0;0;111369;30,0000;C148;C
1;1;female;42;0;0;PC 17757;227,5250;;C
1;1;female;29;0;0;PC 17483;221,7792;C97;S
1;0;male;25;0;0;13905;26,0000;;C
1;1;male;25;1;0;11967;91,0792;B49;C
1;1;female;19;1;0;11967;91,0792;B49;C
1;1;female;35;0;0;PC 17760;135,6333;C99;S
1;1;male;28;0;0;110564;26,5500;C52;S
1;0;male;45;0;0;113784;35,5000;T;S
1;1;male;40;0;0;112277;31,0000;A31;C
1;1;female;30;0;0;36928;164,8667;C7;S
1;1;female;58;0;0;113783;26,5500;C103;S
1;0;male;42;0;0;110489;26,5500;D22;S
1;1;female;45;0;0;PC 17608;262,3750;;C
1;1;female;22;0;1;113505;55,0000;E33;S
1;1;male;;0;0;111427;26,5500;;S
1;0;male;41;0;0;113054;30,5000;A21;S
1;0;male;48;0;0;PC 17591;50,4958;B10;C
1;0;male;;0;0;112379;39,6000;;C
1;1;female;44;0;0;PC 17610;27,7208;B4;C
1;1;female;59;2;0;11769;51,4792;C101;S
1;1;female;60;0;0;11813;76,2917;D15;C
1;1;female;41;0;0;16966;134,5000;E40;C
1;0;male;45;0;0;113050;26,5500;B38;S
1;0;male;;0;0;113798;31,0000;;S
1;1;male;42;0;0;PC 17476;26,2875;E24;S
1;1;female;53;0;0;PC 17606;27,4458;;C
1;1;male;36;0;1;PC 17755;512,3292;B51 B53 B55;C
1;1;female;58;0;1;PC 17755;512,3292;B51 B53 B55;C
1;0;male;33;0;0;695;5,0000;B51 B53 B55;S
1;0;male;28;0;0;113059;47,1000;;S
1;0;male;17;0;0;113059;47,1000;;S
1;1;male;11;1;2;113760;120,0000;B96 B98;S
1;1;female;14;1;2;113760;120,0000;B96 B98;S
1;1;male;36;1;2;113760;120,0000;B96 B98;S
1;1;female;36;1;2;113760;120,0000;B96 B98;S
1;0;male;49;0;0;19924;26,0000;;S
1;1;female;;0;0;17770;27,7208;;C
1;0;male;36;1;0;19877;78,8500;C46;S
1;1;female;76;1;0;19877;78,8500;C46;S
1;0;male;46;1;0;W.E.P. 5734;61,1750;E31;S
1;1;female;47;1;0;W.E.P. 5734;61,1750;E31;S
1;1;male;27;1;0;113806;53,1000;E8;S
1;1;female;33;1;0;113806;53,1000;E8;S
1;1;female;36;0;0;PC 17608;262,3750;B61;C
1;1;female;30;0;0;110152;86,5000;B77;S
1;1;male;45;0;0;PC 17594;29,7000;A9;C
1;1;female;;0;1;113505;55,0000;E33;S
1;0;male;;0;0;112051;0,0000;;S
1;0;male;27;1;0;13508;136,7792;C89;C
1;1;female;26;1;0;13508;136,7792;C89;C
1;1;female;22;0;0;113781;151,5500;;S
1;0;male;;0;0;110465;52,0000;A14;S
1;0;male;47;0;0;5727;25,5875;E58;S
1;1;female;39;1;1;PC 17756;83,1583;E49;C
1;0;male;37;1;1;PC 17756;83,1583;E52;C
1;1;female;64;0;2;PC 17756;83,1583;E45;C
1;1;female;55;2;0;11770;25,7000;C101;S
1;0;male;;0;0;113791;26,5500;;S
1;0;male;70;1;1;WE/P 5735;71,0000;B22;S
1;1;female;36;0;2;WE/P 5735;71,0000;B22;S
1;1;female;64;1;1;112901;26,5500;B26;S
1;0;male;39;1;0;PC 17599;71,2833;C85;C
1;1;female;38;1;0;PC 17599;71,2833;C85;C
1;1;male;51;0;0;113055;26,5500;E17;S
1;1;male;27;0;0;113804;30,5000;;S
1;1;female;33;0;0;113781;151,5500;;S
1;0;male;31;1;0;F.C. 12750;52,0000;B71;S
1;1;female;27;1;2;F.C. 12750;52,0000;B71;S
1;1;male;31;1;0;17474;57,0000;B20;S
1;1;female;17;1;0;17474;57,0000;B20;S
1;1;male;53;1;1;33638;81,8583;A34;S
1;1;male;4;0;2;33638;81,8583;A34;S
1;1;female;54;1;1;33638;81,8583;A34;S
1;0;male;50;1;0;PC 17761;106,4250;C86;C
1;1;female;27;1;1;PC 17558;247,5208;B58 B60;C
1;1;female;48;1;0;PC 17761;106,4250;C86;C
1;1;female;48;1;0;11755;39,6000;A16;C
1;1;male;49;1;0;PC 17485;56,9292;A20;C
1;0;male;39;0;0;PC 17580;29,7000;A18;C
1;1;female;23;0;1;11767;83,1583;C54;C
1;1;female;38;0;0;PC 17757;227,5250;C45;C
1;1;female;54;1;0;36947;78,2667;D20;C
1;0;female;36;0;0;PC 17531;31,6792;A29;C
1;0;male;;0;0;PC 17483;221,7792;C95;S
1;1;female;;0;0;PC 17598;31,6833;;S
1;1;female;;0;0;17421;110,8833;;C
1;1;male;36;0;0;PC 17474;26,3875;E25;S
1;0;male;30;0;0;113051;27,7500;C111;C
1;1;female;24;3;2;19950;263,0000;C23 C25 C27;S
1;1;female;28;3;2;19950;263,0000;C23 C25 C27;S
1;1;female;23;3;2;19950;263,0000;C23 C25 C27;S
1;0;male;19;3;2;19950;263,0000;C23 C25 C27;S
1;0;male;64;1;4;19950;263,0000;C23 C25 C27;S
1;1;female;60;1;4;19950;263,0000;C23 C25 C27;S
1;1;female;30;0;0;PC 17485;56,9292;E36;C
1;0;male;;0;0;113778;26,5500;D34;S
1;1;male;50;2;0;PC 17611;133,6500;;S
1;1;male;43;1;0;17765;27,7208;D40;C
1;1;female;;1;0;PC 17611;133,6500;;S
1;1;female;22;0;2;13568;49,5000;B39;C
1;1;male;60;1;1;13567;79,2000;B41;C
1;1;female;48;1;1;13567;79,2000;B41;C
1;0;male;;0;0;112058;0,0000;B102;S
1;0;male;37;1;0;113803;53,1000;C123;S
1;1;female;35;1;0;113803;53,1000;C123;S
1;0;male;47;0;0;111320;38,5000;E63;S
1;1;female;35;0;0;113503;211,5000;C130;C
1;1;female;22;0;1;112378;59,4000;;C
1;1;female;45;0;1;112378;59,4000;;C
1;0;male;24;0;0;PC 17593;79,2000;B86;C
1;1;male;49;1;0;17453;89,1042;C92;C
1;1;female;;1;0;17453;89,1042;C92;C
1;0;male;71;0;0;PC 17754;34,6542;A5;C
1;1;male;53;0;0;113780;28,5000;C51;C
1;1;female;19;0;0;112053;30,0000;B42;S
1;0;male;38;0;1;PC 17582;153,4625;C91;S
1;1;female;58;0;1;PC 17582;153,4625;C125;S
1;1;male;23;0;1;PC 17759;63,3583;D10 D12;C
1;1;female;45;0;1;PC 17759;63,3583;D10 D12;C
1;0;male;46;0;0;PC 17593;79,2000;B82 B84;C
1;1;male;25;1;0;11765;55,4417;E50;C
1;1;female;25;1;0;11765;55,4417;E50;C
1;1;male;48;1;0;PC 17572;76,7292;D33;C
1;1;female;49;1;0;PC 17572;76,7292;D33;C
1;0;male;;0;0;113796;42,4000;;S
1;0;male;45;1;0;36973;83,4750;C83;S
1;1;female;35;1;0;36973;83,4750;C83;S
1;0;male;40;0;0;112059;0,0000;B94;S
1;1;male;27;0;0;PC 17572;76,7292;D49;C
1;1;male;;0;0;16988;30,0000;D45;S
1;1;female;24;0;0;11767;83,1583;C54;C
1;0;male;55;1;1;12749;93,5000;B69;S
1;1;female;52;1;1;12749;93,5000;B69;S
1;0;male;42;0;0;113038;42,5000;B11;S
1;0;male;;0;0;17463;51,8625;E46;S
1;0;male;55;0;0;680;50,0000;C39;S
1;1;female;16;0;1;111361;57,9792;B18;C
1;1;female;44;0;1;111361;57,9792;B18;C
1;1;female;51;1;0;13502;77,9583;D11;S
1;0;male;42;1;0;113789;52,0000;;S
1;1;female;35;1;0;113789;52,0000;;S
1;1;male;35;0;0;111426;26,5500;;C
1;1;male;38;1;0;19943;90,0000;C93;S
1;0;male;;0;0;PC 17600;30,6958;;C
1;1;female;35;1;0;19943;90,0000;C93;S
1;1;female;38;0;0;113572;80,0000;B28;
1;0;female;50;0;0;PC 17595;28,7125;C49;C
1;1;male;49;0;0;112058;0,0000;B52 B54 B56;S
1;0;male;46;0;0;694;26,0000;;S
1;0;male;50;0;0;113044;26,0000;E60;S
1;0;male;32,5;0;0;113503;211,5000;C132;C
1;0;male;58;0;0;11771;29,7000;B37;C
1;0;male;41;1;0;17464;51,8625;D21;S
1;1;female;;1;0;17464;51,8625;D21;S
1;1;male;42;1;0;11753;52,5542;D19;S
1;1;female;45;1;0;11753;52,5542;D19;S
1;0;male;;0;0;113028;26,5500;C124;S
1;1;female;39;0;0;24160;211,3375;;S
1;1;female;49;0;0;17465;25,9292;D17;S
1;1;female;30;0;0;PC 17761;106,4250;;C
1;1;male;35;0;0;PC 17755;512,3292;B101;C
1;0;male;;0;0;PC 17612;27,7208;;C
1;0;male;42;0;0;17475;26,5500;;S
1;1;female;55;0;0;112377;27,7208;;C
1;1;female;16;0;1;PC 17592;39,4000;D28;S
1;1;female;51;0;1;PC 17592;39,4000;D28;S
1;0;male;29;0;0;113501;30,0000;D6;S
1;1;female;21;0;0;13502;77,9583;D9;S
1;0;male;30;0;0;113801;45,5000;;S
1;1;female;58;0;0;PC 17569;146,5208;B80;C
1;1;female;15;0;1;24160;211,3375;B5;S
1;0;male;30;0;0;110469;26,0000;C106;S
1;1;female;16;0;0;110152;86,5000;B79;S
1;1;male;;0;0;11774;29,7000;C47;C
1;0;male;19;1;0;113773;53,1000;D30;S
1;1;female;18;1;0;113773;53,1000;D30;S
1;1;female;24;0;0;PC 17482;49,5042;C90;C
1;0;male;46;0;0;13050;75,2417;C6;C
1;0;male;54;0;0;17463;51,8625;E46;S
1;1;male;36;0;0;PC 17473;26,2875;E25;S
1;0;male;28;1;0;PC 17604;82,1708;;C
1;1;female;;1;0;PC 17604;82,1708;;C
1;0;male;65;0;0;13509;26,5500;E38;S
1;0;male;44;2;0;19928;90,0000;C78;Q
1;1;female;33;1;0;19928;90,0000;C78;Q
1;1;female;37;1;0;19928;90,0000;C78;Q
1;1;male;30;1;0;13236;57,7500;C78;C
1;0;male;55;0;0;113787;30,5000;C30;S
1;0;male;47;0;0;113796;42,4000;;S
1;0;male;37;0;1;PC 17596;29,7000;C118;C
1;1;female;31;1;0;35273;113,2750;D36;C
1;1;female;23;1;0;35273;113,2750;D36;C
1;0;male;58;0;2;35273;113,2750;D48;C
1;1;female;19;0;2;11752;26,2833;D47;S
1;0;male;64;0;0;693;26,0000;;S
1;1;female;39;0;0;PC 17758;108,9000;C105;C
1;1;male;;0;0;F.C. 12998;25,7417;;C
1;1;female;22;0;1;113509;61,9792;B36;C
1;0;male;65;0;1;113509;61,9792;B30;C
1;0;male;28,5;0;0;PC 17562;27,7208;D43;C
1;0;male;;0;0;112052;0,0000;;S
1;0;male;45,5;0;0;113043;28,5000;C124;S
1;0;male;23;0;0;12749;93,5000;B24;S
1;0;male;29;1;0;113776;66,6000;C2;S
1;1;female;22;1;0;113776;66,6000;C2;S
1;0;male;18;1;0;PC 17758;108,9000;C65;C
1;1;female;17;1;0;PC 17758;108,9000;C65;C
1;1;female;30;0;0;12749;93,5000;B73;S
1;1;male;52;0;0;113786;30,5000;C104;S
1;0;male;47;0;0;110465;52,0000;C110;S
1;1;female;56;0;1;11767;83,1583;C50;C
1;0;male;38;0;0;19972;0,0000;;S
1;1;male;;0;0;PC 17607;39,6000;;S
1;0;male;22;0;0;PC 17760;135,6333;;C
1;0;male;;0;0;PC 17757;227,5250;;C
1;1;female;43;0;1;24160;211,3375;B3;S
1;0;male;31;0;0;PC 17590;50,4958;A24;S
1;1;male;45;0;0;111428;26,5500;;S
1;0;male;;0;0;113767;50,0000;A32;S
1;1;female;33;0;0;PC 17613;27,7208;A11;C
1;0;male;46;0;0;PC 17585;79,2000;;C
1;0;male;36;0;0;13049;40,1250;A10;C
1;1;female;33;0;0;110152;86,5000;B77;S
1;0;male;55;1;0;PC 17603;59,4000;;C
1;1;female;54;1;0;PC 17603;59,4000;;C
1;0;male;33;0;0;113790;26,5500;;S
1;1;male;13;2;2;PC 17608;262,3750;B57 B59 B63 B66;C
1;1;female;18;2;2;PC 17608;262,3750;B57 B59 B63 B66;C
1;1;female;21;2;2;PC 17608;262,3750;B57 B59 B63 B66;C
1;0;male;61;1;3;PC 17608;262,3750;B57 B59 B63 B66;C
1;1;female;48;1;3;PC 17608;262,3750;B57 B59 B63 B66;C
1;1;male;;0;0;19988;30,5000;C106;S
1;1;female;24;0;0;PC 17477;69,3000;B35;C
1;1;male;;0;0;111163;26,0000;;S
1;1;female;35;1;0;13236;57,7500;C28;C
1;1;female;30;0;0;113798;31,0000;;C
1;1;male;34;0;0;113794;26,5500;;S
1;1;female;40;0;0;PC 17582;153,4625;C125;S
1;1;male;35;0;0;PC 17475;26,2875;E24;S
1;0;male;50;1;0;13507;55,9000;E44;S
1;1;female;39;1;0;13507;55,9000;E44;S
1;1;male;56;0;0;13213;35,5000;A26;C
1;1;male;28;0;0;113788;35,5000;A6;S
1;0;male;56;0;0;113792;26,5500;;S
1;0;male;56;0;0;17764;30,6958;A7;C
